Date : 2024-02-24 20:47:21
Directory : d:\Programming\Projects\library
Total : 204 files,  107720 codes, 98 comments, 1483 blanks, all 109301 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         72 |     77,185 |         50 |        628 |     77,863 |
| JSON           |          7 |     22,229 |          0 |          7 |     22,236 |
| JavaScript JSX |        107 |      7,842 |         25 |        753 |      8,620 |
| CSS            |         14 |        378 |          0 |         58 |        436 |
| HTML           |          2 |         39 |         23 |          2 |         64 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| TypeScript JSX |          1 |          9 |          0 |          2 |         11 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        204 |    107,720 |         98 |      1,483 |    109,301 |
| . (Files)                                                                                                                                       |          4 |     61,373 |          0 |          6 |     61,379 |
| client                                                                                                                                          |        135 |     27,913 |         59 |        986 |     28,958 |
| client (Files)                                                                                                                                  |          4 |     18,637 |          0 |         36 |     18,673 |
| client\public                                                                                                                                   |          2 |         46 |         23 |          2 |         71 |
| client\src                                                                                                                                      |        129 |      9,230 |         36 |        948 |     10,214 |
| client\src (Files)                                                                                                                              |          3 |         69 |          0 |         11 |         80 |
| client\src\_codux                                                                                                                               |          1 |          9 |          0 |          2 |         11 |
| client\src\_codux\boards                                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| client\src\components                                                                                                                           |         26 |        756 |          4 |        115 |        875 |
| client\src\components\buttons                                                                                                                   |          2 |         35 |          0 |          8 |         43 |
| client\src\components\context                                                                                                                   |          1 |         26 |          0 |          5 |         31 |
| client\src\components\feedback                                                                                                                  |          8 |        205 |          4 |         34 |        243 |
| client\src\components\feedback\backdrop                                                                                                         |          1 |         14 |          0 |          2 |         16 |
| client\src\components\feedback\dialog                                                                                                           |          1 |         44 |          0 |          2 |         46 |
| client\src\components\feedback\snackbar                                                                                                         |          4 |        130 |          4 |         26 |        160 |
| client\src\components\feedback\spinner                                                                                                          |          2 |         17 |          0 |          4 |         21 |
| client\src\components\forms                                                                                                                     |          8 |        221 |          0 |         37 |        258 |
| client\src\components\forms\hooks                                                                                                               |          1 |         16 |          0 |          4 |         20 |
| client\src\components\forms\hooks\useLengthTrigger                                                                                              |          1 |         16 |          0 |          4 |         20 |
| client\src\components\forms\input-field                                                                                                         |          2 |         71 |          0 |         10 |         81 |
| client\src\components\forms\input-select                                                                                                        |          2 |         53 |          0 |          8 |         61 |
| client\src\components\forms\link-button                                                                                                         |          1 |         10 |          0 |          3 |         13 |
| client\src\components\forms\search-query                                                                                                        |          1 |         59 |          0 |          7 |         66 |
| client\src\components\forms\use-form-hook                                                                                                       |          1 |         12 |          0 |          5 |         17 |
| client\src\components\modals                                                                                                                    |          2 |         74 |          0 |          8 |         82 |
| client\src\components\protected-route                                                                                                           |          1 |         29 |          0 |          6 |         35 |
| client\src\components\table                                                                                                                     |          4 |        166 |          0 |         17 |        183 |
| client\src\dashboard                                                                                                                            |         98 |      8,341 |         23 |        805 |      9,169 |
| client\src\dashboard (Files)                                                                                                                    |          2 |        149 |          3 |         26 |        178 |
| client\src\dashboard\admin                                                                                                                      |         53 |      3,850 |          4 |        401 |      4,255 |
| client\src\dashboard\admin\components                                                                                                           |          4 |        245 |          2 |         28 |        275 |
| client\src\dashboard\admin\components\database-form                                                                                             |          2 |        113 |          0 |         10 |        123 |
| client\src\dashboard\admin\components\navbar                                                                                                    |          2 |        132 |          2 |         18 |        152 |
| client\src\dashboard\admin\hooks                                                                                                                |          2 |        191 |          1 |         47 |        239 |
| client\src\dashboard\admin\pages                                                                                                                |         38 |      3,231 |          1 |        300 |      3,532 |
| client\src\dashboard\admin\pages\database                                                                                                       |          4 |        330 |          0 |         30 |        360 |
| client\src\dashboard\admin\pages\database (Files)                                                                                               |          2 |        156 |          0 |         15 |        171 |
| client\src\dashboard\admin\pages\database\issued-books                                                                                          |          1 |         87 |          0 |          7 |         94 |
| client\src\dashboard\admin\pages\database\returned-books                                                                                        |          1 |         87 |          0 |          8 |         95 |
| client\src\dashboard\admin\pages\homepage                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\admin\pages\issue-book                                                                                                     |         11 |        930 |          1 |         88 |      1,019 |
| client\src\dashboard\admin\pages\issue-book (Files)                                                                                             |          1 |         32 |          0 |          3 |         35 |
| client\src\dashboard\admin\pages\issue-book\issue-new-book                                                                                      |          2 |        292 |          0 |         26 |        318 |
| client\src\dashboard\admin\pages\issue-book\return-issued-book                                                                                  |          2 |        172 |          1 |         15 |        188 |
| client\src\dashboard\admin\pages\issue-book\search-issued-books                                                                                 |          3 |        200 |          0 |         20 |        220 |
| client\src\dashboard\admin\pages\issue-book\searh-returned-books                                                                                |          3 |        234 |          0 |         24 |        258 |
| client\src\dashboard\admin\pages\manage-books                                                                                                   |          5 |        536 |          0 |         43 |        579 |
| client\src\dashboard\admin\pages\manage-books (Files)                                                                                           |          1 |         20 |          0 |          3 |         23 |
| client\src\dashboard\admin\pages\manage-books\add-book                                                                                          |          1 |        169 |          0 |          8 |        177 |
| client\src\dashboard\admin\pages\manage-books\book-accessions                                                                                   |          1 |        150 |          0 |         12 |        162 |
| client\src\dashboard\admin\pages\manage-books\search-books                                                                                      |          1 |        124 |          0 |         12 |        136 |
| client\src\dashboard\admin\pages\manage-books\view-book                                                                                         |          1 |         73 |          0 |          8 |         81 |
| client\src\dashboard\admin\pages\manage-fines                                                                                                   |          3 |        192 |          0 |         23 |        215 |
| client\src\dashboard\admin\pages\manage-fines (Files)                                                                                           |          1 |         10 |          0 |          3 |         13 |
| client\src\dashboard\admin\pages\manage-fines\search-fines                                                                                      |          1 |         83 |          0 |          7 |         90 |
| client\src\dashboard\admin\pages\manage-fines\view-fine                                                                                         |          1 |         99 |          0 |         13 |        112 |
| client\src\dashboard\admin\pages\manage-staff                                                                                                   |          4 |        252 |          0 |         27 |        279 |
| client\src\dashboard\admin\pages\manage-staff (Files)                                                                                           |          1 |         20 |          0 |          3 |         23 |
| client\src\dashboard\admin\pages\manage-staff\add-staff                                                                                         |          1 |        110 |          0 |          6 |        116 |
| client\src\dashboard\admin\pages\manage-staff\search-staff                                                                                      |          1 |         74 |          0 |         10 |         84 |
| client\src\dashboard\admin\pages\manage-staff\view-staff                                                                                        |          1 |         48 |          0 |          8 |         56 |
| client\src\dashboard\admin\pages\manage-students                                                                                                |          8 |        877 |          0 |         76 |        953 |
| client\src\dashboard\admin\pages\manage-students (Files)                                                                                        |          1 |         31 |          0 |          3 |         34 |
| client\src\dashboard\admin\pages\manage-students\add-student                                                                                    |          2 |        321 |          0 |         20 |        341 |
| client\src\dashboard\admin\pages\manage-students\approve-student                                                                                |          2 |        203 |          0 |         20 |        223 |
| client\src\dashboard\admin\pages\manage-students\library-cards                                                                                  |          1 |        127 |          0 |         10 |        137 |
| client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card                                                                 |          1 |        127 |          0 |         10 |        137 |
| client\src\dashboard\admin\pages\manage-students\search-students                                                                                |          1 |         96 |          0 |         11 |        107 |
| client\src\dashboard\admin\pages\manage-students\view-student                                                                                   |          1 |         99 |          0 |         12 |        111 |
| client\src\dashboard\admin\pages\profile                                                                                                        |          2 |        105 |          0 |         11 |        116 |
| client\src\dashboard\admin\pages\profile (Files)                                                                                                |          1 |         14 |          0 |          3 |         17 |
| client\src\dashboard\admin\pages\profile\change-password                                                                                        |          1 |         91 |          0 |          8 |         99 |
| client\src\dashboard\admin\routes                                                                                                               |          8 |        175 |          0 |         24 |        199 |
| client\src\dashboard\admin\settings                                                                                                             |          1 |          8 |          0 |          2 |         10 |
| client\src\dashboard\admin\settings\manage-programs                                                                                             |          1 |          8 |          0 |          2 |         10 |
| client\src\dashboard\applicant                                                                                                                  |          3 |        449 |          0 |         31 |        480 |
| client\src\dashboard\login-page                                                                                                                 |          4 |        465 |          2 |         43 |        510 |
| client\src\dashboard\staff                                                                                                                      |         31 |      3,161 |         14 |        279 |      3,454 |
| client\src\dashboard\staff\components                                                                                                           |          1 |        102 |          0 |         11 |        113 |
| client\src\dashboard\staff\components\navbar                                                                                                    |          1 |        102 |          0 |         11 |        113 |
| client\src\dashboard\staff\hooks                                                                                                                |          2 |        619 |          1 |         52 |        672 |
| client\src\dashboard\staff\pages                                                                                                                |         23 |      2,332 |         13 |        201 |      2,546 |
| client\src\dashboard\staff\pages\homepage                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\staff\pages\issue-book                                                                                                     |          8 |        970 |          0 |         80 |      1,050 |
| client\src\dashboard\staff\pages\issue-book (Files)                                                                                             |          1 |         29 |          0 |          3 |         32 |
| client\src\dashboard\staff\pages\issue-book\issue-new-book                                                                                      |          1 |        261 |          0 |         18 |        279 |
| client\src\dashboard\staff\pages\issue-book\return-issued-book                                                                                  |          1 |        199 |          0 |         15 |        214 |
| client\src\dashboard\staff\pages\issue-book\search-issued-books                                                                                 |          2 |        206 |          0 |         19 |        225 |
| client\src\dashboard\staff\pages\issue-book\searh-returned-books                                                                                |          2 |        213 |          0 |         18 |        231 |
| client\src\dashboard\staff\pages\issue-book\view-book                                                                                           |          1 |         62 |          0 |          7 |         69 |
| client\src\dashboard\staff\pages\manage-books                                                                                                   |          5 |        526 |         12 |         46 |        584 |
| client\src\dashboard\staff\pages\manage-books (Files)                                                                                           |          1 |         24 |          0 |          3 |         27 |
| client\src\dashboard\staff\pages\manage-books\add-book                                                                                          |          1 |        164 |         12 |         11 |        187 |
| client\src\dashboard\staff\pages\manage-books\book-accessions                                                                                   |          1 |        155 |          0 |         13 |        168 |
| client\src\dashboard\staff\pages\manage-books\search-books                                                                                      |          1 |        105 |          0 |         11 |        116 |
| client\src\dashboard\staff\pages\manage-books\view-book                                                                                         |          1 |         78 |          0 |          8 |         86 |
| client\src\dashboard\staff\pages\manage-students                                                                                                |          7 |        725 |          1 |         62 |        788 |
| client\src\dashboard\staff\pages\manage-students (Files)                                                                                        |          1 |         29 |          0 |          3 |         32 |
| client\src\dashboard\staff\pages\manage-students\add-student                                                                                    |          1 |        186 |          1 |         11 |        198 |
| client\src\dashboard\staff\pages\manage-students\approve-student                                                                                |          2 |        206 |          0 |         18 |        224 |
| client\src\dashboard\staff\pages\manage-students\library-cards                                                                                  |          1 |        148 |          0 |         13 |        161 |
| client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card                                                                 |          1 |        148 |          0 |         13 |        161 |
| client\src\dashboard\staff\pages\manage-students\search-students                                                                                |          1 |         84 |          0 |          9 |         93 |
| client\src\dashboard\staff\pages\manage-students\view-student                                                                                   |          1 |         72 |          0 |          8 |         80 |
| client\src\dashboard\staff\pages\profile                                                                                                        |          2 |        102 |          0 |         11 |        113 |
| client\src\dashboard\staff\pages\profile (Files)                                                                                                |          1 |         14 |          0 |          3 |         17 |
| client\src\dashboard\staff\pages\profile\change-password                                                                                        |          1 |         88 |          0 |          8 |         96 |
| client\src\dashboard\staff\routes                                                                                                               |          5 |        108 |          0 |         15 |        123 |
| client\src\dashboard\student                                                                                                                    |          5 |        267 |          0 |         25 |        292 |
| client\src\dashboard\student\components                                                                                                         |          1 |         86 |          0 |          8 |         94 |
| client\src\dashboard\student\components\navbar                                                                                                  |          1 |         86 |          0 |          8 |         94 |
| client\src\dashboard\student\hooks                                                                                                              |          1 |         24 |          0 |          3 |         27 |
| client\src\dashboard\student\pages                                                                                                              |          2 |        141 |          0 |         11 |        152 |
| client\src\dashboard\student\pages\homepage                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\student\pages\issue-history                                                                                                |          1 |        132 |          0 |          9 |        141 |
| client\src\dashboard\student\routes                                                                                                             |          1 |         16 |          0 |          3 |         19 |
| client\src\utils                                                                                                                                |          1 |         55 |          9 |         15 |         79 |
| server                                                                                                                                          |         65 |     18,434 |         39 |        491 |     18,964 |
| server (Files)                                                                                                                                  |          3 |     14,723 |          0 |          4 |     14,727 |
| server\src                                                                                                                                      |         62 |      3,711 |         39 |        487 |      4,237 |
| server\src (Files)                                                                                                                              |          4 |         65 |          2 |         18 |         85 |
| server\src\models                                                                                                                               |         23 |        850 |          1 |        167 |      1,018 |
| server\src\models\applications                                                                                                                  |          2 |         52 |          0 |         10 |         62 |
| server\src\models\auth                                                                                                                          |          5 |        153 |          1 |         29 |        183 |
| server\src\models\auth (Files)                                                                                                                  |          2 |         77 |          1 |         11 |         89 |
| server\src\models\auth\admin                                                                                                                    |          1 |         24 |          0 |          6 |         30 |
| server\src\models\auth\applicant                                                                                                                |          1 |         37 |          0 |          7 |         44 |
| server\src\models\auth\student                                                                                                                  |          1 |         15 |          0 |          5 |         20 |
| server\src\models\book-accessions                                                                                                               |          2 |         40 |          0 |          9 |         49 |
| server\src\models\books                                                                                                                         |          2 |         98 |          0 |         18 |        116 |
| server\src\models\fines                                                                                                                         |          2 |         42 |          0 |         12 |         54 |
| server\src\models\issue-book                                                                                                                    |          2 |        125 |          0 |         22 |        147 |
| server\src\models\library-cards                                                                                                                 |          2 |         50 |          0 |         10 |         60 |
| server\src\models\returned-book                                                                                                                 |          2 |        197 |          0 |         33 |        230 |
| server\src\models\staff                                                                                                                         |          2 |         31 |          0 |          8 |         39 |
| server\src\models\students                                                                                                                      |          2 |         62 |          0 |         16 |         78 |
| server\src\router                                                                                                                               |         28 |      2,027 |         20 |        231 |      2,278 |
| server\src\router (Files)                                                                                                                       |          1 |         90 |          0 |         15 |        105 |
| server\src\router\admin                                                                                                                         |         15 |      1,360 |         14 |        137 |      1,511 |
| server\src\router\admin (Files)                                                                                                                 |          1 |         13 |          0 |          4 |         17 |
| server\src\router\admin\books                                                                                                                   |          2 |        172 |          0 |         15 |        187 |
| server\src\router\admin\database                                                                                                                |          1 |        163 |          0 |         14 |        177 |
| server\src\router\admin\fines                                                                                                                   |          2 |         55 |          0 |          9 |         64 |
| server\src\router\admin\issue-book                                                                                                              |          2 |        333 |          6 |         28 |        367 |
| server\src\router\admin\return-book                                                                                                             |          2 |        240 |          6 |         25 |        271 |
| server\src\router\admin\settings                                                                                                                |          1 |         45 |          0 |          6 |         51 |
| server\src\router\admin\staff                                                                                                                   |          2 |         77 |          0 |         10 |         87 |
| server\src\router\admin\students                                                                                                                |          2 |        262 |          2 |         26 |        290 |
| server\src\router\applicant                                                                                                                     |          1 |         41 |          0 |          6 |         47 |
| server\src\router\auth                                                                                                                          |         10 |        497 |          6 |         68 |        571 |
| server\src\router\auth (Files)                                                                                                                  |          4 |        129 |          0 |         26 |        155 |
| server\src\router\auth\admin                                                                                                                    |          2 |        148 |          0 |         13 |        161 |
| server\src\router\auth\applicants                                                                                                               |          2 |        176 |          6 |         22 |        204 |
| server\src\router\auth\students                                                                                                                 |          2 |         44 |          0 |          7 |         51 |
| server\src\router\student                                                                                                                       |          1 |         39 |          0 |          5 |         44 |
| server\src\router\student\issue-history                                                                                                         |          1 |         39 |          0 |          5 |         44 |
| server\src\services                                                                                                                             |          4 |        147 |         10 |         22 |        179 |
| server\src\utils                                                                                                                                |          3 |        622 |          6 |         49 |        677 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Programming\Projects\library\books1-sorted.js                                                                                                | JavaScript     |     11,421 |          0 |          2 |     11,423 |
| d:\Programming\Projects\library\books1.js                                                                                                       | JavaScript     |     49,621 |          0 |          2 |     49,623 |
| d:\Programming\Projects\library\client\.eslintrc.js                                                                                             | JavaScript     |         28 |          0 |          1 |         29 |
| d:\Programming\Projects\library\client\README.md                                                                                                | Markdown       |         38 |          0 |         33 |         71 |
| d:\Programming\Projects\library\client\package-lock.json                                                                                        | JSON           |     18,521 |          0 |          1 |     18,522 |
| d:\Programming\Projects\library\client\package.json                                                                                             | JSON           |         50 |          0 |          1 |         51 |
| d:\Programming\Projects\library\client\public\index.html                                                                                        | HTML           |         21 |         23 |          1 |         45 |
| d:\Programming\Projects\library\client\public\manifest.json                                                                                     | JSON           |         25 |          0 |          1 |         26 |
| d:\Programming\Projects\library\client\src\App.js                                                                                               | JavaScript     |         18 |          0 |          3 |         21 |
| d:\Programming\Projects\library\client\src\_codux\boards\login-page.board.tsx                                                                   | TypeScript JSX |          9 |          0 |          2 |         11 |
| d:\Programming\Projects\library\client\src\components\buttons\button.component.jsx                                                              | JavaScript JSX |         13 |          0 |          4 |         17 |
| d:\Programming\Projects\library\client\src\components\buttons\button.styles.css                                                                 | CSS            |         22 |          0 |          4 |         26 |
| d:\Programming\Projects\library\client\src\components\context\snackbar.context.jsx                                                              | JavaScript JSX |         26 |          0 |          5 |         31 |
| d:\Programming\Projects\library\client\src\components\feedback\backdrop\backdrop.component.jsx                                                  | JavaScript JSX |         14 |          0 |          2 |         16 |
| d:\Programming\Projects\library\client\src\components\feedback\dialog\alert-dialog.component.jsx                                                | JavaScript JSX |         44 |          0 |          2 |         46 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx                                             | JavaScript JSX |         34 |          0 |          6 |         40 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-old.component.jsx                                              | JavaScript JSX |         29 |          0 |          3 |         32 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx                                                  | JavaScript JSX |         32 |          4 |         10 |         46 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.styles.css                                                     | CSS            |         35 |          0 |          7 |         42 |
| d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx                                                    | JavaScript JSX |          4 |          0 |          2 |          6 |
| d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.styles.css                                                       | CSS            |         13 |          0 |          2 |         15 |
| d:\Programming\Projects\library\client\src\components\forms\hooks\useLengthTrigger\uselengthTrigger.hook.component.jsx                          | JavaScript JSX |         16 |          0 |          4 |         20 |
| d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx                                               | JavaScript JSX |         23 |          0 |          4 |         27 |
| d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.styles.css                                                  | CSS            |         48 |          0 |          6 |         54 |
| d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx                                             | JavaScript JSX |         19 |          0 |          3 |         22 |
| d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.styles.css                                                | CSS            |         34 |          0 |          5 |         39 |
| d:\Programming\Projects\library\client\src\components\forms\link-button\link-button.component.jsx                                               | JavaScript JSX |         10 |          0 |          3 |         13 |
| d:\Programming\Projects\library\client\src\components\forms\search-query\search-query.component.jsx                                             | JavaScript JSX |         59 |          0 |          7 |         66 |
| d:\Programming\Projects\library\client\src\components\forms\use-form-hook\use-form.hook.component.jsx                                           | JavaScript JSX |         12 |          0 |          5 |         17 |
| d:\Programming\Projects\library\client\src\components\modals\form-dialoge.component.jsx                                                         | JavaScript JSX |         23 |          0 |          3 |         26 |
| d:\Programming\Projects\library\client\src\components\modals\modal.component.jsx                                                                | JavaScript JSX |         51 |          0 |          5 |         56 |
| d:\Programming\Projects\library\client\src\components\protected-route\protected-toute.component.jsx                                             | JavaScript JSX |         29 |          0 |          6 |         35 |
| d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx                                                   | JavaScript JSX |         68 |          0 |          9 |         77 |
| d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx                                                          | JavaScript JSX |         38 |          0 |          1 |         39 |
