Date : 2024-02-24 20:47:21
Directory : d:\Programming\Projects\library
Total : 204 files,  107720 codes, 98 comments, 1483 blanks, all 109301 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx                                                        | JavaScript JSX |         24 |          0 |          2 |         26 |
| d:\Programming\Projects\library\client\src\components\table\table.styles.css                                                                    | CSS            |         36 |          0 |          5 |         41 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database-form.component.admin.jsx                           | JavaScript JSX |         26 |          0 |          4 |         30 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database.component.admin.jsx                                | JavaScript JSX |         87 |          0 |          6 |         93 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx                                               | JavaScript JSX |         53 |          2 |          8 |         63 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.styles.css                                                  | CSS            |         79 |          0 |         10 |         89 |
| d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js                                                   | JavaScript     |        180 |          1 |         42 |        223 |
| d:\Programming\Projects\library\client\src\dashboard\admin\hooks\useSignOut.hooks.jsx                                                           | JavaScript JSX |         11 |          0 |          5 |         16 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.pages.admin.jsx                                              | JavaScript JSX |        122 |          0 |         11 |        133 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.routes.admin.jsx                                             | JavaScript JSX |         34 |          0 |          4 |         38 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\issued-books\issued-books.database.admin.jsx                          | JavaScript JSX |         87 |          0 |          7 |         94 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\returned-books\returned-books.database.admin.jsx                      | JavaScript JSX |         87 |          0 |          8 |         95 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\homepage\homepage.page.admin.jsx                                               | JavaScript JSX |          9 |          0 |          2 |         11 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-book-route.admin.jsx                                          | JavaScript JSX |         32 |          0 |          3 |         35 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.page.admin.jsx                        | JavaScript JSX |        275 |          0 |         23 |        298 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.styles.css                            | CSS            |         17 |          0 |          3 |         20 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.jsx                | JavaScript JSX |        160 |          1 |         13 |        174 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.styles.css         | CSS            |         12 |          0 |          2 |         14 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.page.admin.jsx              | JavaScript JSX |        125 |          0 |         11 |        136 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.styles.admin.css            | CSS            |          5 |          0 |          1 |          6 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx             | JavaScript JSX |         70 |          0 |          8 |         78 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\search-returned-books.page.admin.jsx           | JavaScript JSX |        143 |          0 |         12 |        155 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\search-returned-books.styles.css               | CSS            |         20 |          0 |          4 |         24 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx            | JavaScript JSX |         71 |          0 |          8 |         79 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\add-book\add-book.page.admin.jsx                                  | JavaScript JSX |        169 |          0 |          8 |        177 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\book-accessions\add-book-accession.page.admin.jsx                 | JavaScript JSX |        150 |          0 |         12 |        162 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\manage-books.page.admin.jsx                                       | JavaScript JSX |         20 |          0 |          3 |         23 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\search-books\search-books.page.admin.jsx                          | JavaScript JSX |        124 |          0 |         12 |        136 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\view-book\view-book.page.admin.jsx                                | JavaScript JSX |         73 |          0 |          8 |         81 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\manage-fines.page.admin.jsx                                       | JavaScript JSX |         10 |          0 |          3 |         13 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\search-fines\search-fines.page.jsx                                | JavaScript JSX |         83 |          0 |          7 |         90 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\view-fine\view-fine.page.admin.jsx                                | JavaScript JSX |         99 |          0 |         13 |        112 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\add-staff\add-staff.page.admin.jsx                                | JavaScript JSX |        110 |          0 |          6 |        116 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\manage-staff.page.admin.jsx                                       | JavaScript JSX |         20 |          0 |          3 |         23 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\search-staff\search-staff.page.admin.jsx                          | JavaScript JSX |         74 |          0 |         10 |         84 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\view-staff\view-staff.page.admin.jsx                              | JavaScript JSX |         48 |          0 |          8 |         56 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.page.admin.jsx                         | JavaScript JSX |        315 |          0 |         19 |        334 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.styles.css                             | CSS            |          6 |          0 |          1 |          7 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx                 | JavaScript JSX |         85 |          0 |         11 |         96 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx                  | JavaScript JSX |        118 |          0 |          9 |        127 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx | JavaScript JSX |        127 |          0 |         10 |        137 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\manage-students.page.admin.jsx                                 | JavaScript JSX |         31 |          0 |          3 |         34 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx                  | JavaScript JSX |         96 |          0 |         11 |        107 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\view-student\view-student.page.admin.jsx                       | JavaScript JSX |         99 |          0 |         12 |        111 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx                         | JavaScript JSX |         91 |          0 |          8 |         99 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\profile.page.admin.jsx                                                 | JavaScript JSX |         14 |          0 |          3 |         17 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx                                                  | JavaScript JSX |         28 |          0 |          3 |         31 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\database.routes.admin.jsx                                                     | JavaScript JSX |         34 |          0 |          3 |         37 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\issue-books.route.admin.jsx                                                   | JavaScript JSX |         28 |          0 |          3 |         31 |
