Date : 2024-01-30 19:25:05
Directory : d:\Programming\Projects\library
Total : 171 files,  34328 codes, 156 comments, 1354 blanks, all 35838 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card                                                                 |          1 |        131 |          0 |         10 |        141 |
| client\src\dashboard\admin\pages\manage-students\search-students                                                                                |          1 |        104 |          0 |         11 |        115 |
| client\src\dashboard\admin\pages\manage-students\view-student                                                                                   |          1 |         99 |          0 |         12 |        111 |
| client\src\dashboard\admin\pages\profile                                                                                                        |          2 |        104 |          0 |         11 |        115 |
| client\src\dashboard\admin\pages\profile (Files)                                                                                                |          1 |         14 |          0 |          3 |         17 |
| client\src\dashboard\admin\pages\profile\change-password                                                                                        |          1 |         90 |          0 |          8 |         98 |
| client\src\dashboard\admin\routes                                                                                                               |          7 |        162 |          0 |         21 |        183 |
| client\src\dashboard\admin\settings                                                                                                             |          1 |          8 |          0 |          2 |         10 |
| client\src\dashboard\admin\settings\manage-programs                                                                                             |          1 |          8 |          0 |          2 |         10 |
| client\src\dashboard\applicant                                                                                                                  |          3 |        283 |          1 |         20 |        304 |
| client\src\dashboard\login-page                                                                                                                 |          3 |        451 |          4 |         31 |        486 |
| client\src\dashboard\staff                                                                                                                      |         31 |      3,197 |         14 |        279 |      3,490 |
| client\src\dashboard\staff\components                                                                                                           |          1 |        102 |          0 |         11 |        113 |
| client\src\dashboard\staff\components\navbar                                                                                                    |          1 |        102 |          0 |         11 |        113 |
| client\src\dashboard\staff\hooks                                                                                                                |          2 |        619 |          1 |         52 |        672 |
| client\src\dashboard\staff\pages                                                                                                                |         23 |      2,368 |         13 |        201 |      2,582 |
| client\src\dashboard\staff\pages\homepage                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\staff\pages\issue-book                                                                                                     |          8 |        992 |          0 |         80 |      1,072 |
| client\src\dashboard\staff\pages\issue-book (Files)                                                                                             |          1 |         29 |          0 |          3 |         32 |
| client\src\dashboard\staff\pages\issue-book\issue-new-book                                                                                      |          1 |        267 |          0 |         18 |        285 |
| client\src\dashboard\staff\pages\issue-book\return-issued-book                                                                                  |          1 |        211 |          0 |         15 |        226 |
| client\src\dashboard\staff\pages\issue-book\search-issued-books                                                                                 |          2 |        206 |          0 |         19 |        225 |
| client\src\dashboard\staff\pages\issue-book\searh-returned-books                                                                                |          2 |        217 |          0 |         18 |        235 |
| client\src\dashboard\staff\pages\issue-book\view-book                                                                                           |          1 |         62 |          0 |          7 |         69 |
| client\src\dashboard\staff\pages\manage-books                                                                                                   |          5 |        530 |         12 |         46 |        588 |
| client\src\dashboard\staff\pages\manage-books (Files)                                                                                           |          1 |         24 |          0 |          3 |         27 |
| client\src\dashboard\staff\pages\manage-books\add-book                                                                                          |          1 |        166 |         12 |         11 |        189 |
| client\src\dashboard\staff\pages\manage-books\book-accessions                                                                                   |          1 |        157 |          0 |         13 |        170 |
| client\src\dashboard\staff\pages\manage-books\search-books                                                                                      |          1 |        105 |          0 |         11 |        116 |
| client\src\dashboard\staff\pages\manage-books\view-book                                                                                         |          1 |         78 |          0 |          8 |         86 |
| client\src\dashboard\staff\pages\manage-students                                                                                                |          7 |        733 |          1 |         62 |        796 |
| client\src\dashboard\staff\pages\manage-students (Files)                                                                                        |          1 |         29 |          0 |          3 |         32 |
| client\src\dashboard\staff\pages\manage-students\add-student                                                                                    |          1 |        188 |          1 |         11 |        200 |
| client\src\dashboard\staff\pages\manage-students\approve-student                                                                                |          2 |        208 |          0 |         18 |        226 |
| client\src\dashboard\staff\pages\manage-students\library-cards                                                                                  |          1 |        152 |          0 |         13 |        165 |
| client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card                                                                 |          1 |        152 |          0 |         13 |        165 |
| client\src\dashboard\staff\pages\manage-students\search-students                                                                                |          1 |         84 |          0 |          9 |         93 |
| client\src\dashboard\staff\pages\manage-students\view-student                                                                                   |          1 |         72 |          0 |          8 |         80 |
| client\src\dashboard\staff\pages\profile                                                                                                        |          2 |        104 |          0 |         11 |        115 |
| client\src\dashboard\staff\pages\profile (Files)                                                                                                |          1 |         14 |          0 |          3 |         17 |
| client\src\dashboard\staff\pages\profile\change-password                                                                                        |          1 |         90 |          0 |          8 |         98 |
| client\src\dashboard\staff\routes                                                                                                               |          5 |        108 |          0 |         15 |        123 |
| client\src\dashboard\student                                                                                                                    |          5 |        267 |          0 |         25 |        292 |
| client\src\dashboard\student\components                                                                                                         |          1 |         86 |          0 |          8 |         94 |
| client\src\dashboard\student\components\navbar                                                                                                  |          1 |         86 |          0 |          8 |         94 |
| client\src\dashboard\student\hooks                                                                                                              |          1 |         24 |          0 |          3 |         27 |
| client\src\dashboard\student\pages                                                                                                              |          2 |        141 |          0 |         11 |        152 |
| client\src\dashboard\student\pages\homepage                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\student\pages\issue-history                                                                                                |          1 |        132 |          0 |          9 |        141 |
| client\src\dashboard\student\routes                                                                                                             |          1 |         16 |          0 |          3 |         19 |
| client\src\utils                                                                                                                                |          1 |         55 |          9 |         15 |         79 |
| server                                                                                                                                          |         56 |      6,419 |         96 |        493 |      7,008 |
| server (Files)                                                                                                                                  |          2 |      3,203 |          0 |          2 |      3,205 |
| server\src                                                                                                                                      |         54 |      3,216 |         96 |        491 |      3,803 |
| server\src (Files)                                                                                                                              |          3 |         39 |          1 |         17 |         57 |
| server\src\models                                                                                                                               |         22 |      1,061 |         10 |        182 |      1,253 |
| server\src\models\applications                                                                                                                  |          2 |        127 |          1 |         20 |        148 |
| server\src\models\auth                                                                                                                          |          6 |        193 |          9 |         41 |        243 |
| server\src\models\auth (Files)                                                                                                                  |          3 |        121 |          1 |         23 |        145 |
| server\src\models\auth\admin                                                                                                                    |          1 |         20 |          0 |          5 |         25 |
| server\src\models\auth\applicant                                                                                                                |          1 |         41 |          8 |          8 |         57 |
| server\src\models\auth\student                                                                                                                  |          1 |         11 |          0 |          5 |         16 |
| server\src\models\book-accessions                                                                                                               |          2 |         64 |          0 |         13 |         77 |
| server\src\models\books                                                                                                                         |          2 |        135 |          0 |         20 |        155 |
| server\src\models\issue-book                                                                                                                    |          2 |        127 |          0 |         22 |        149 |
| server\src\models\library-cards                                                                                                                 |          2 |         54 |          0 |         10 |         64 |
| server\src\models\returned-book                                                                                                                 |          2 |        179 |          0 |         32 |        211 |
| server\src\models\staff                                                                                                                         |          2 |         76 |          0 |          8 |         84 |
| server\src\models\students                                                                                                                      |          2 |        106 |          0 |         16 |        122 |
| server\src\router                                                                                                                               |         22 |      1,606 |         69 |        240 |      1,915 |
| server\src\router (Files)                                                                                                                       |          1 |         97 |          1 |         17 |        115 |
| server\src\router\admin                                                                                                                         |          9 |      1,082 |         12 |        118 |      1,212 |
| server\src\router\admin (Files)                                                                                                                 |          1 |         11 |          0 |          4 |         15 |
| server\src\router\admin\books                                                                                                                   |          2 |        171 |          0 |         15 |        186 |
| server\src\router\admin\database                                                                                                                |          1 |        169 |          0 |         15 |        184 |
| server\src\router\admin\issue-book                                                                                                              |          2 |        440 |         12 |         37 |        489 |
| server\src\router\admin\settings                                                                                                                |          1 |         45 |          0 |          6 |         51 |
| server\src\router\admin\staff                                                                                                                   |          1 |         43 |          0 |          6 |         49 |
| server\src\router\admin\students                                                                                                                |          1 |        203 |          0 |         35 |        238 |
| server\src\router\applicant                                                                                                                     |          1 |         37 |          0 |          8 |         45 |
| server\src\router\auth                                                                                                                          |         10 |        351 |         56 |         92 |        499 |
| server\src\router\auth (Files)                                                                                                                  |          1 |         37 |         50 |         16 |        103 |
| server\src\router\auth\admin                                                                                                                    |          2 |         49 |          0 |         13 |         62 |
| server\src\router\auth\applicants                                                                                                               |          2 |        103 |          6 |         27 |        136 |
| server\src\router\auth\email-sign-on                                                                                                            |          2 |        101 |          0 |         18 |        119 |
| server\src\router\auth\passport                                                                                                                 |          1 |         16 |          0 |          5 |         21 |
| server\src\router\auth\students                                                                                                                 |          2 |         45 |          0 |         13 |         58 |
| server\src\router\student                                                                                                                       |          1 |         39 |          0 |          5 |         44 |
| server\src\router\student\issue-history                                                                                                         |          1 |         39 |          0 |          5 |         44 |
| server\src\services                                                                                                                             |          4 |        147 |         10 |         22 |        179 |
| server\src\utils                                                                                                                                |          3 |        363 |          6 |         30 |        399 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Programming\Projects\library\client\.eslintrc.js                                                                                             | JavaScript     |         28 |          0 |          1 |         29 |
| d:\Programming\Projects\library\client\README.md                                                                                                | Markdown       |         38 |          0 |         33 |         71 |
| d:\Programming\Projects\library\client\package-lock.json                                                                                        | JSON           |     18,515 |          0 |          1 |     18,516 |
| d:\Programming\Projects\library\client\package.json                                                                                             | JSON           |         49 |          0 |          1 |         50 |
| d:\Programming\Projects\library\client\public\index.html                                                                                        | HTML           |         23 |         23 |          2 |         48 |
| d:\Programming\Projects\library\client\public\manifest.json                                                                                     | JSON           |         25 |          0 |          1 |         26 |
| d:\Programming\Projects\library\client\src\App.js                                                                                               | JavaScript     |         19 |          0 |          3 |         22 |
| d:\Programming\Projects\library\client\src\_codux\boards\login-page.board.tsx                                                                   | TypeScript JSX |          9 |          0 |          2 |         11 |
| d:\Programming\Projects\library\client\src\components\feedback\dialog\alert-dialog.component.jsx                                                | JavaScript JSX |         44 |          0 |          2 |         46 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx                                             | JavaScript JSX |         16 |          0 |          3 |         19 |
| d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx                                                  | JavaScript JSX |         29 |          4 |          3 |         36 |
| d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx                                                    | JavaScript JSX |         10 |          0 |          2 |         12 |
| d:\Programming\Projects\library\client\src\components\forms\hooks\useLengthTrigger\uselengthTrigger.hook.component.jsx                          | JavaScript JSX |         16 |          0 |          4 |         20 |
| d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx                                               | JavaScript JSX |         13 |          1 |          4 |         18 |
| d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx                                             | JavaScript JSX |         25 |          0 |          3 |         28 |
| d:\Programming\Projects\library\client\src\components\forms\link-button\link-button.component.jsx                                               | JavaScript JSX |         10 |          0 |          3 |         13 |
| d:\Programming\Projects\library\client\src\components\forms\search-query\search-query.component.jsx                                             | JavaScript JSX |         59 |          0 |          7 |         66 |
| d:\Programming\Projects\library\client\src\components\forms\use-form-hook\use-form.hook.component.jsx                                           | JavaScript JSX |         12 |          0 |          5 |         17 |
| d:\Programming\Projects\library\client\src\components\modals\modal.component.jsx                                                                | JavaScript JSX |         51 |          0 |          5 |         56 |
| d:\Programming\Projects\library\client\src\components\protected-route\protected-toute.component.jsx                                             | JavaScript JSX |         29 |          0 |          6 |         35 |
| d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx                                                   | JavaScript JSX |         71 |          0 |          8 |         79 |
| d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx                                                          | JavaScript JSX |         74 |          0 |          5 |         79 |
| d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx                                                        | JavaScript JSX |         30 |          0 |          3 |         33 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database-form.component.admin.jsx                           | JavaScript JSX |         26 |          0 |          4 |         30 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database.component.admin.jsx                                | JavaScript JSX |         87 |          0 |          6 |         93 |
| d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx                                               | JavaScript JSX |        109 |          1 |         12 |        122 |
| d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js                                                   | JavaScript     |        296 |          0 |         39 |        335 |
| d:\Programming\Projects\library\client\src\dashboard\admin\hooks\useSignOut.hooks.jsx                                                           | JavaScript JSX |         11 |          0 |          5 |         16 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.pages.admin.jsx                                              | JavaScript JSX |        122 |          0 |         11 |        133 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.routes.admin.jsx                                             | JavaScript JSX |         34 |          0 |          4 |         38 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\issued-books\issued-books.database.admin.jsx                          | JavaScript JSX |         87 |          0 |          7 |         94 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\returned-books\returned-books.database.admin.jsx                      | JavaScript JSX |         87 |          0 |          8 |         95 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\homepage\homepage.page.admin.jsx                                               | JavaScript JSX |          9 |          0 |          2 |         11 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-book-route.admin.jsx                                          | JavaScript JSX |         32 |          0 |          3 |         35 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.page.admin.jsx                        | JavaScript JSX |        282 |          0 |         19 |        301 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.jsx                | JavaScript JSX |        183 |          0 |         12 |        195 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.page.admin.jsx              | JavaScript JSX |        151 |          0 |         12 |        163 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx             | JavaScript JSX |         70 |          0 |          8 |         78 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\search-returned-books.page.admin.jsx           | JavaScript JSX |        159 |          0 |         11 |        170 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx            | JavaScript JSX |         71 |          0 |          8 |         79 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\add-book\add-book.page.admin.jsx                                  | JavaScript JSX |        177 |          0 |          8 |        185 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\book-accessions\add-book-accession.page.admin.jsx                 | JavaScript JSX |        152 |          0 |         12 |        164 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\manage-books.page.admin.jsx                                       | JavaScript JSX |         20 |          0 |          3 |         23 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\search-books\search-books.page.admin.jsx                          | JavaScript JSX |        118 |          0 |         12 |        130 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\view-book\view-book.page.admin.jsx                                | JavaScript JSX |         73 |          0 |          8 |         81 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\add-staff\add-staff.page.admin.jsx                                | JavaScript JSX |        109 |          0 |          6 |        115 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\manage-staff.page.admin.jsx                                       | JavaScript JSX |         20 |          0 |          3 |         23 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\search-staff\search-staff.page.admin.jsx                          | JavaScript JSX |         62 |          0 |          9 |         71 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\view-staff\view-staff.page.admin.jsx                              | JavaScript JSX |         34 |          0 |          7 |         41 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.page.admin.jsx                         | JavaScript JSX |        310 |          0 |         19 |        329 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx                 | JavaScript JSX |        105 |          0 |         11 |        116 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx                  | JavaScript JSX |        119 |          0 |          9 |        128 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx | JavaScript JSX |        131 |          0 |         10 |        141 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\manage-students.page.admin.jsx                                 | JavaScript JSX |         31 |          0 |          3 |         34 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx                  | JavaScript JSX |        104 |          0 |         11 |        115 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\view-student\view-student.page.admin.jsx                       | JavaScript JSX |         99 |          0 |         12 |        111 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx                         | JavaScript JSX |         90 |          0 |          8 |         98 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\profile.page.admin.jsx                                                 | JavaScript JSX |         14 |          0 |          3 |         17 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx                                                  | JavaScript JSX |         26 |          0 |          3 |         29 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\database.routes.admin.jsx                                                     | JavaScript JSX |         34 |          0 |          3 |         37 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\issue-books.route.admin.jsx                                                   | JavaScript JSX |         28 |          0 |          3 |         31 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-books.route.admin.jsx                                                  | JavaScript JSX |         18 |          0 |          3 |         21 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-staff.route.admin.jsx                                                  | JavaScript JSX |         16 |          0 |          3 |         19 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx                                                     | JavaScript JSX |         28 |          0 |          3 |         31 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\profile.router.jsx                                                            | JavaScript JSX |         12 |          0 |          3 |         15 |
| d:\Programming\Projects\library\client\src\dashboard\admin\settings\manage-programs\manage-programs.page.admin.jsx                              | JavaScript JSX |          8 |          0 |          2 |         10 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx                                                               | JavaScript JSX |         39 |          0 |          6 |         45 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx                                                | JavaScript JSX |         43 |          0 |          3 |         46 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx                                                 | JavaScript JSX |        201 |          1 |         11 |        213 |
| d:\Programming\Projects\library\client\src\dashboard\dashboard.routes.jsx                                                                       | JavaScript JSX |         49 |          3 |          3 |         55 |
| d:\Programming\Projects\library\client\src\dashboard\http-requests.js                                                                           | JavaScript     |        302 |          0 |         27 |        329 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx                                                        | JavaScript JSX |        111 |          2 |          8 |        121 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx                                                             | JavaScript JSX |        155 |          1 |         13 |        169 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx                                                                | JavaScript JSX |        185 |          1 |         10 |        196 |
| d:\Programming\Projects\library\client\src\dashboard\staff\components\navbar\navbar.component.jsx                                               | JavaScript JSX |        102 |          0 |         11 |        113 |
| d:\Programming\Projects\library\client\src\dashboard\staff\hooks\http-requests.hooks.admin.js                                                   | JavaScript     |        608 |          1 |         47 |        656 |
| d:\Programming\Projects\library\client\src\dashboard\staff\hooks\useSignOut.hooks.jsx                                                           | JavaScript JSX |         11 |          0 |          5 |         16 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\homepage\homepage.page.staff.jsx                                               | JavaScript JSX |          9 |          0 |          2 |         11 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-book-route.admin.jsx                                          | JavaScript JSX |         29 |          0 |          3 |         32 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx                        | JavaScript JSX |        267 |          0 |         18 |        285 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx                | JavaScript JSX |        211 |          0 |         15 |        226 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\search-issued-books.page.staff.jsx              | JavaScript JSX |        154 |          0 |         12 |        166 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx             | JavaScript JSX |         52 |          0 |          7 |         59 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx           | JavaScript JSX |        162 |          0 |         11 |        173 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx            | JavaScript JSX |         55 |          0 |          7 |         62 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\view-book\view-book.issue-book.page.staff.jsx                       | JavaScript JSX |         62 |          0 |          7 |         69 |
